0.037,0.253,0.559,0.458,0.467,0.233,0.236,0.419,0.413,0.201,0.265,0.094
0.039,0.13,0.668,0.585,0.509,0.257,0.266,0.446,0.387,0.199,0.267,0.082
0.041,0.15,0.17,0.276,0.584,0.168,0.506,0.4,0.161,0.273,0.145,0.075
0.039,0.248,0.148,0.488,0.573,0.282,0.595,0.482,0.211,0.291,0.109,0.077
0.037,0.347,0.174,0.951,0.951,0.903,1.006,0.54,0.348,0.221,0.146,0.081
0.04,0.039,0.037,0.039,0.04,0.04,0.042,0.039,0.039,0.037,0.04,0.04
37 PS,4527,4527,4528,4528,4529,4529,4530,4530,4531,4531,
0.037,0.038,0.035,0.039,0.037,0.043,0.04,0.037,0.04,0.04,0.037,0.051
0.039,0.308,0.29,0.285,0.49,0.19,0.215,0.276,0.269,0.254,0.214,0.075
0.04,0.236,0.38,0.201,0.243,0.139,0.146,0.158,0.19,0.092,0.168,0.078
0.039,0.19,0.251,0.175,0.294,0.14,0.294,0.298,0.19,0.144,0.166,0.074
0.037,0.26,0.14,0.186,0.185,0.131,0.176,0.186,1.98,0.25,0.186,0.086
0.037,0.246,0.213,0.209,0.18,0.154,0.226,0.196,1.683,0.275,0.2,0.081
0.037,0.465,0.226,0.265,0.577,0.205,0.481,0.407,0.736,0.281,0.178,0.07
0.037,0.038,0.037,0.041,0.037,0.041,0.038,0.043,0.042,0.034,0.038,0.043
37 PS,4532,4532,4533,4533,4535,4535,4536,4536,4537,4537,
0.036,0.035,0.035,0.035,0.035,0.037,0.04,0.037,0.034,0.035,0.035,0.039
0.035,0.16,0.229,0.349,0.251,0.857,0.516,0.706,0.804,0.267,0.249,0.112
0.04,0.128,0.178,0.198,0.177,0.965,0.7,0.639,0.619,0.165,0.196,0.076
0.037,0.169,0.283,0.323,0.252,1.386,0.992,0.994,1.126,0.213,0.225,0.082
0.037,0.156,1.102,0.191,0.409,0.851,3.785,1.023,1.245,0.315,0.305,0.16
0.037,0.141,1.003,0.161,0.231,0.901,3.869,0.746,0.996,0.238,0.332,0.11
0.036,0.177,0.814,0.272,0.355,0.997,3.327,0.919,0.986,0.382,0.295,0.119
0.037,0.037,0.039,0.038,0.047,0.039,0.038,0.039,0.038,0.037,0.037,0.048
37 PS,4538,4538,4539,4539,4540,4540,4571,4571,4584,4584,
0.038,0.041,0.037,0.037,0.036,0.039,0.038,0.037,0.036,0.039,0.037,0.039
0.036,0.276,0.225,0.301,0.381,0.254,0.314,0.327,0.477,0.831,0.874,0.087
0.037,0.27,0.269,0.214,0.246,0.226,0.306,0.3,0.251,0.559,0.528,0.082
0.036,0.239,0.267,0.244,0.233,0.234,0.363,0.388,0.406,0.649,0.785,0.096
0.038,0.218,0.159,0.188,0.181,0.287,0.288,0.226,0.616,0.245,0.624,0.09
0.036,0.226,0.237,0.172,0.116,0.295,0.173,0.232,0.334,0.54,0.255,0.106
0.037,0.285,0.227,0.399,0.379,0.568,0.188,0.189,0.378,0.578,0.286,0.084
0.04,0.042,0.042,0.041,0.039,0.041,0.038,0.039,0.04,0.034,0.045,0.04
37 PS,4617,4617,4642,4642,4644,4644,4730,4730,6101,6101,
0.037,0.038,0.036,0.037,0.037,0.038,0.036,0.035,0.037,0.038,0.038,0.038
0.039,0.198,0.298,0.152,0.173,0.364,0.521,0.175,0.303,1.857,2.222,0.101
0.037,0.166,0.211,0.176,0.181,0.171,0.401,0.236,0.372,2.066,2.049,0.108
0.037,0.243,0.227,0.189,0.181,0.226,0.328,0.212,0.277,2.344,2.646,0.121
0.037,0.156,0.288,0.173,0.086,0.143,0.17,0.293,0.133,2.401,1.944,0.104
0.042,0.19,0.268,0.175,0.128,0.342,0.158,0.252,0.101,2.229,2.495,0.107
0.039,0.229,0.405,0.252,0.16,0.405,0.246,0.357,0.135,2.324,2.763,0.115
0.039,0.048,0.039,0.039,0.038,0.04,0.04,0.039,0.043,0.037,0.038,0.047
37 PS,4734,4734,4739,4739,4740,4740,4743,4743,4766,4766,
0.035,0.037,0.039,0.041,0.037,0.038,0.038,0.036,0.036,0.085,0.045,0.041
0.036,0.25,0.392,0.325,0.387,0.389,0.551,0.504,0.523,0.447,1.017,0.131
0.037,0.168,0.203,0.202,0.352,0.227,0.379,0.313,0.361,0.293,0.782,0.124
0.035,0.158,0.21,0.21,0.406,0.22,0.349,0.204,0.298,0.427,0.838,0.137
0.035,0.124,0.227,0.104,0.122,0.228,0.253,0.166,0.401,0.268,1.606,0.098
0.036,0.225,0.195,0.142,0.141,0.19,0.239,0.192,0.384,0.256,1.243,0.093
0.035,0.247,0.372,0.154,0.296,0.281,0.461,0.365,0.51,0.441,1.384,0.097
